zone1_id,zone2_id,weight
113,234,1138.5631475991813
175,191,3965.2501437751016
226,260,2040.6438458639068
82,160,2564.6978707181565
82,157,3527.8250643699644
82,196,2469.9966956124495
82,83,1206.8609624240166
82,173,2462.9801688128323
82,129,2569.18903765799
158,249,487.9343974076981
158,246,2389.140980553386
107,224,1089.8746753940593
107,234,849.0465509359616
107,137,942.6954426769428
107,170,1613.1673317080413
83,260,1668.3974632752693
83,157,2320.9641019459477
83,129,2603.606184453296
56,196,3553.9981988633285
56,82,3054.5092919835256
56,95,3804.8019525874524
56,93,2149.343282627509
56,173,760.6766637952319
137,224,966.5824159240323
137,170,956.0251405391327
137,233,1487.307640607829
90,113,1270.225703808744
90,249,1279.4051550576291
90,234,681.775972104731
90,186,1016.2972017533534
135,192,2137.7121793095293
145,226,2586.451938738089
145,146,1991.9349385995404
145,193,2155.125909581018
9,121,3563.1208912561037
9,192,2761.2123862089143
9,98,2609.2297224538343
9,16,2341.2675502765305
9,73,1725.3100255364723
9,171,3471.51910183588
64,175,3089.9596676289257
64,101,3651.6530417906915
68,249,1753.1412913682814
68,158,2138.814725749443
68,90,895.0148031870135
68,246,836.2980754441111
68,186,542.5610654427011
68,100,1361.8368782868054
16,98,3421.0534827069714
16,175,3577.5819877112663
16,64,2673.31814601528
16,171,3207.6209710384755
164,234,1295.8511440853613
164,170,568.782259094727
164,186,529.2216314200787
164,230,1319.9777965305905
170,233,816.8357515767304
186,234,1049.7285329749175
73,192,1720.1438906366805
73,92,2320.21756288405
73,171,1746.209076299408
92,192,2905.631237559375
92,93,3132.0614472548314
92,253,938.0156823922973
92,171,2187.7330457171843
92,252,3959.1438918234344
146,226,2567.4400554497593
146,193,1188.2391226503896
100,186,819.2758128441042
100,164,809.1734161205295
100,230,1029.923615106565
129,260,2956.236422768652
129,173,2119.7615445968117
129,207,1746.2890676042532
129,223,3675.2539233971493
129,138,2734.9181909862546
162,170,1433.9282694860053
162,233,890.7051183000376
162,229,520.1208351764229
162,163,1233.477592992935
162,237,1808.114951591022
229,233,1137.2133530856977
7,226,3004.208683432693
7,146,1889.0513800372921
7,260,2878.0313174708754
7,193,1725.8604090558144
7,179,1739.3249611328797
7,207,1731.90935875787
7,223,2794.9849398802717
161,170,1201.1617045244882
161,162,531.1376766779631
161,164,1585.4451339462498
161,230,663.8264353712891
161,163,720.8225228715178
48,68,2258.9483518926013
48,100,1048.4117681384423
48,246,2008.6220970886588
48,230,674.8738886907362
48,50,821.8034300910773
48,163,1119.1020017879462
48,142,1860.9930738621017
48,143,1683.4334928222681
70,129,1882.1647864937177
70,173,1582.131497829237
70,93,4492.151444251977
70,138,1601.0787638310317
140,229,1718.5493779909664
140,141,513.0184759024232
